tract,tree,grassShrub,bare,water,buildings,roads,otherPaved,totalPixels,percentImp
357.01,958007.3698,1830038.937,0,3280.343833,1253267.309,956137.7438,1450241.908,6450973.612,0.567301493
357.02,2369916.946,7953832.995,307941.4025,248574.2777,1694131.123,1249216.119,2947010.509,16770623.37,0.351230698
356.01,4873792.095,8140384.679,18799.23959,28784.24229,3131674.571,2312692.392,3476789.538,21982916.76,0.405822239
151.01,210331.9273,405613.8651,0,0,736922.5934,345626.8643,379873.014,2078368.264,0.703639724
151.02,759080.1612,1183259.313,3435.312834,16818.63577,1565750.803,1182513.462,1303961.169,6014818.856,0.673706978
365.01,4834338.987,6600751.652,0,19236.15219,2643303.26,1880985.746,3612791.333,19591407.13,0.41533925
9804,235905.8118,9752695.168,213543.2849,527461.4919,2440324.862,1153650.235,17688933.68,32012514.54,0.664830898
134.02,375751.8384,416335.7204,4986.00265,0,933894.1931,318082.374,519428.0988,2568478.227,0.68967089
134.01,289385.1143,220935.8062,0,0,645329.9147,289678.0557,328167.3567,1773496.248,0.71225148
136.01,181647.665,206990.5957,0,0,776920.5926,295761.8388,342939.4018,1804260.094,0.784599647
379,621000.7812,1527139.526,4291.141643,1998.60022,3460566.783,2214372.059,6966771.437,14796140.33,0.854392429
382,1181825.599,1809502.045,12179.56372,262396.5128,5376181.602,3642392.412,7676661.437,19961139.17,0.836386907
380,329839.0223,1334020.156,0,28688.26149,2172717.391,1515581.838,4032664.346,9413511.015,0.820200196
381,1970692.802,9466530.41,3094.381031,16654350.63,6515015.801,4374934.882,13563200.95,52547819.86,0.46535045
384,13028891.83,6083122.193,12075.58452,0,1650700.81,1518668.221,2136785.579,24430244.22,0.217196135
1,769395.0979,432151.5567,793.8412079,0,2838328.249,1396404.677,2158481.239,7595554.661,0.841704714
2,151756.6441,200842.8254,0,0,1567681.417,701527.6734,1494812.993,4116621.552,0.914347368
3,602008.5802,572658.4511,0,614.8770062,1802147.516,1205305.903,1704329.083,5887064.41,0.800361976
5,193870.2201,33931.21274,0,0,2559015.12,715895.7994,1112730.421,4615442.773,0.950643645
6,49130.17249,15155.96835,0,0,1097076.552,265739.8441,431505.6859,1858608.223,0.965411677
7,107022.5923,103966.2036,0,92488.49953,1409415.075,426725.6421,617815.4184,2757433.431,0.889942114
32,468812.2235,842529.4688,9639.071896,0,1770936.76,900571.8586,1300610.839,5293100.221,0.750433449
33,1039843,1799401.066,3857.228439,965298.9113,2810843.747,1832575.43,4016232.633,12468052.02,0.694547296
36,673803.2191,2443830.161,75212.95515,0,2126118.712,1963214.298,3105341.838,10387521.18,0.692626732
37.01,187611.4721,100986.7996,0,0,1795345.877,689361.1071,1054776.013,3828081.269,0.924610202
